popularity,release_date,rus,vote_average
170.54,2022-10-06,Девушка 20-го века,8.7
86.518,1972-03-14,Крестный отец,8.7
84.681,1994-09-23,Побег из Шоушенка,8.7
44.957,1974-12-20,"Крестный отец, часть II",8.6
32.859,2021-06-17,Невозможные вещи,8.6
23.31,1995-10-19,Dilwale Dulhania Le Jayenge,8.6
52.121,1993-12-15,Список Шиндлера,8.6
18.207,2019-08-27,Легенда о Хэе,8.6
11.288,2016-02-20,Dou kyu sei – Одноклассники,8.5
64.948,2001-07-20,Унесённые призраками,8.5
33.678,1957-04-10,12 разгневанных мужчин,8.5
74.434,2016-08-26,Ваше имя.,8.5
52.624,2019-05-30,Паразит,8.5
64.084,1999-12-10,Зелёная миля,8.5
58.811,2008-07-14,Тёмный рыцарь,8.5
14.833,2020-07-31,Ад Габриэля: Часть II,8.5
11.73,2020-05-29,Ад Габриэля,8.5
60.289,1994-09-10,Криминальное чтиво,8.5
46.676,1966-12-23,"Хороший, плохой и злой",8.5
14.026,2018-11-15,Сжечь сцену: Фильм,8.5
58.175,1994-06-23,Форрест Гамп,8.5
65.369,2003-12-01,Властелин колец: Возвращение короля,8.5
40.582,2020-11-19,Ад Габриэля: Часть III,8.5
35.327,1990-09-12,Хорошие парни,8.5
18.587,1988-11-17,Кинотеатр «Парадизо»,8.5
32.212,1997-12-20,Жизнь прекрасна,8.5
24.918,1954-04-26,Семь самураев,8.5
25.544,1962-09-15,Харакири,8.4
0.6,1988-04-16,Могила светлячков,8.4
30.409,1960-06-22,Психо,8.4
27.399,1984-05-23,Однажды в Америке,8.4
14.291,2013-10-02,Надеяться,8.4
83.565,1999-10-15,Бойцовский клуб,8.4
25.869,1975-11-19,Пролетая над гнездом кукушки,8.4
19.299,2019-11-21,Первобытные: Истории о дикости,8.4
10.029,2000-09-15,Собачья воля,8.4
29.496,2002-02-05,Град Божий,8.4
0.6,2011-09-17,Хотаруби но Мори э,8.4
67.356,2018-12-06,Человек-паук: Через вселенные,8.4
50.211,2016-09-17,«Тихий голос: Фильм»,8.4
58.43,2004-09-09,Ходячий замок Хаула,8.4
10.033,2019-01-26,Мировой тур BTS: Love Yourself в Сеуле,8.4
28.927,1980-05-20,Империя наносит ответный удар,8.4
80.185,2001-12-18,Властелин колец: Братство кольца,8.4
36.259,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.4
95.667,2014-11-05,Интерстеллар,8.4
41.317,2020-12-25,"Жозе, тигр и рыба",8.4
53.237,2021-03-08,Евангелион: 3.0+1.0 Трижды в сказке,8.4
36.882,2002-09-17,Пианист,8.4
17.252,1950-08-10,Бульвар Сансет,8.4
17.692,2021-07-23,Зелёная змея,8.4
50.128,2014-10-10,Хлыст,8.4
66.768,2002-12-18,Властелин колец: Две башни,8.4
29.717,1998-07-01,Американская история X,8.4
15.4,1952-10-09,Икиру,8.4
21.065,1954-08-01,Заднее окно,8.4
58.274,2010-07-15,Зарождение,8.4
43.639,1995-09-22,Семь,8.4
13.892,1940-01-12,Магазинчик за углом,8.4
21.459,1940-10-15,Великий диктатор,8.4
11.797,2019-11-01,Посвящается моей бывшей,8.4
31.369,2020-08-22,Данный,8.3
37.966,1997-07-12,Принцесса Мононоке,8.3
396.615,2022-05-24,Топ Ган: Маверик,8.3
15.793,1931-02-01,Городские огни,8.3
11.194,1991-02-14,Молчание ягнят,8.3
15.468,1963-03-01,Высокий и низкий,8.3
48.804,2020-09-18,Вайолет Эвергарден: Фильм,8.3
21.704,2020-10-26,Волкоходцы,8.3
42.09,1994-09-14,Леон: Профессионал,8.3
17.85,2020-10-09,Облака,8.3
17.954,1936-02-05,Современные времена,8.3
27.157,1989-06-02,Общество мертвых поэтов,8.3
242.27,2020-10-16,Убийца демонов -Кимэцу но Яиба- Фильм: Поезд Муген,8.3
22.398,1985-07-09,Приходите и посмотрите,8.3
43.744,2020-11-27,Жизнь за год,8.3
29.845,1968-12-21,Жили-были на Диком Западе,8.3
52.206,2019-03-14,Пять футов друг от друга,8.3
45.804,1985-07-03,Назад в будущее,8.3
67.117,2022-07-29,Пурпурные сердца,8.3
18.156,2020-07-03,Гамильтон,8.3
13.276,1960-03-18,Ле Тру,8.3
18.898,1957-10-25,Пути славы,8.3
299.259,2021-12-24,Дзюдзюцу Кайсен 0,8.3
29.777,1997-07-25,Идеальный синий,8.3
22.274,2020-05-05,Лига Справедливости Тёмная: Война Апоколипса,8.3
33.231,2019-06-15,"Негодник не мечтает о девушке, которая ему снится.",8.3
30.879,1979-08-15,Апокалипсис сегодня,8.3
57.529,2018-08-01,Вместе с богами: последние 49 дней,8.3
25.821,2019-09-02,Стивен Юниверс: Фильм,8.3
28.073,2019-10-10,Чудо в камере № 7,8.3
91.204,2019-04-24,Мстители: Финал,8.3
17.076,1964-02-15,Женщина в дюнах,8.3
8.394,1974-12-21,Мы все очень любили друг друга.,8.3
25.459,2003-11-21,Олдбой,8.3
51.994,2011-11-02,Неприкасаемые,8.3
16.048,2014-09-19,Мама,8.3
178.853,2018-04-25,Мстители: Война бесконечности,8.3
15.486,1998-10-28,Легенда о 1900 году,8.3
31.619,1946-12-20,Это прекрасная жизнь,8.3
44.456,2019-11-08,Клаус,8.3
42.526,2016-06-01,Служанка,8.3
111.742,1994-06-23,Король Лев,8.3
23.022,2019-08-08,Искусство гонок под дождем,8.3
13.96,1953-11-03,История Токио,8.3
30.73,2018-02-24,Макия: Когда расцветает обещанный цветок,8.3
15.845,1966-10-18,Персона,8.3
14.33,1991-07-27,Более светлый летний день,8.3
15.898,2019-10-25,Лучшие дни,8.3
43.8,2019-08-30,KonoSuba: Божественное благословение этому чудесному миру! Легенда о Багровом,8.3
81.933,2019-12-20,Моя геройская академия: Восхождение героев,8.2
7.922,1962-12-05,Il Sorpasso,8.2
28.515,2018-11-16,Зелёная книга,8.2
124.329,2021-03-18,Лига справедливости Зака ​​Снайдера,8.2
30.437,2012-07-21,Дети Волка,8.2
36.495,2018-09-14,Я хочу съесть твою поджелудочную железу,8.2
85.483,2020-09-25,"Чудесный мир: Нью-Йорк, Объединенные ГероиZ",8.2
11.824,2013-11-23,Доктор Кто: День Доктора,8.2
15.666,1948-11-24,Велосипедные воры,8.2
10.864,2021-07-22,Бо Бернхэм: Внутри,8.2
20.905,1960-06-21,Квартира,8.2
9.924,1994-02-08,Сатантанго,8.2
131.358,2017-10-27,Коко,8.2
